date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-02-01,11.04,11.25,11.2,10.77,4420435.0,0.2,1.82,10.516,10.222,10.428,3644499.25,1822249.63,911124.81
2019-01-25,10.34,11.04,11.0,10.26,4409249.0,0.57,5.46,10.152,10.134,10.368,2760412.25,1380206.13,690103.06
2019-01-18,10.22,10.57,10.43,10.07,3641908.75,0.23,2.25,9.842,10.091,10.325,1878562.45,939281.23,469640.61
2019-01-11,9.84,10.22,10.2,9.62,4269744.5,0.45,4.62,9.79,10.103,10.305,1150180.7,575090.35,287545.18
2019-01-04,9.39,9.82,9.75,9.15,1481159.0,0.37,3.94,9.806,10.192,10.235,296231.8,148115.9,74057.95
2018-12-28,9.4,9.49,9.38,9.21,0.0,-0.07,-0.74,9.928,10.335,10.209,0.0,0.0,0.0
2018-12-21,10.16,10.33,9.45,9.33,0.0,-0.72,-7.08,10.116,10.473,10.186,0.0,0.0,0.0
2018-12-14,10.22,10.48,10.17,10.13,0.0,-0.11,-1.07,10.34,10.558,10.176,0.0,0.0,0.0
2018-12-07,10.59,10.66,10.28,10.23,0.0,-0.08,-0.77,10.416,10.646,10.123,0.0,0.0,0.0
2018-11-30,10.34,10.46,10.36,10.16,0.0,0.04,0.39,10.578,10.685,10.053,0.0,0.0,0.0
2018-11-23,10.57,10.88,10.32,10.31,0.0,-0.25,-2.37,10.742,10.633,9.968,0.0,0.0,0.0
2018-11-16,10.46,10.72,10.57,10.38,0.0,0.02,0.19,10.83,10.602,9.906,0.0,0.0,0.0
2018-11-09,10.95,11.04,10.55,10.4,0.0,-0.54,-4.87,10.776,10.558,9.87,0.0,0.0,0.0
2018-11-02,11.2,11.24,11.09,10.62,0.0,-0.09,-0.81,10.876,10.506,9.851,0.0,0.0,0.0
2018-10-26,10.81,11.46,11.18,10.71,0.0,0.42,3.9,10.792,10.278,9.803,0.0,0.0,0.0
2018-10-19,10.39,10.78,10.76,9.92,0.0,0.46,4.47,10.524,10.083,9.753,0.0,0.0,0.0
2018-10-12,10.7,10.79,10.3,9.7,0.0,-0.75,-6.79,10.374,9.898,9.745,0.0,0.0,0.0
2018-09-28,10.52,11.27,11.05,10.48,0.0,0.38,3.56,10.34,9.793,9.778,0.0,0.0,0.0
2018-09-21,9.8,10.7,10.67,9.68,0.0,0.83,8.44,10.136,9.599,9.776,0.0,0.0,0.0
2018-09-14,10.01,10.1,9.84,9.81,0.0,-0.17,-1.7,9.764,9.42,9.776,0.0,0.0,0.0
2018-09-07,10.09,10.55,10.01,9.93,0.0,-0.12,-1.19,9.642,9.302,9.827,0.0,0.0,0.0
2018-08-31,10.02,10.43,10.13,9.97,0.0,0.1,1.0,9.422,9.21,9.894,0.0,0.0,0.0
2018-08-24,8.9,10.28,10.03,8.87,0.0,1.22,13.85,9.246,9.182,9.966,0.0,0.0,0.0
2018-08-17,9.12,9.16,8.81,8.64,0.0,-0.42,-4.55,9.062,9.196,10.008,0.0,0.0,0.0
