位置,价格,成交量
江苏,223.61136363636362,7030.909090909091
上海,161.2,6801.5
湖北,254.71428571428572,6182.0
河北,152.0,6050.666666666667
河南,119.0,5986.0
浙江,290.42857142857144,5779.5
广东,326.0,5164.0
北京,150.0,4519.333333333333
